set_number,name,year_released,number_of_parts,image_url,theme_name
700.B-1,Small Doors and Windows Set (ABB),1949,12,https://cdn.rebrickable.com/media/sets/700.b-1.jpg,Supplemental
700.A-1,Small Brick Set (ABB),1949,24,https://cdn.rebrickable.com/media/sets/700.a-1.jpg,Supplemental
700.1-1,Extra-Large Gift Set (ABB),1949,142,https://cdn.rebrickable.com/media/sets/700.1-1.jpg,System
700.3-1,Medium Gift Set (ABB),1949,142,https://cdn.rebrickable.com/media/sets/700.3-1.jpg,System
700.2-1,Large Gift Set (ABB),1949,178,https://cdn.rebrickable.com/media/sets/700.2-1.jpg,System
700.1.1-1,Single 2 x 4 Brick (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.1.1-1.jpg,Supplemental
700.1.2-1,Single 2 x 2 Brick (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.1.2-1.jpg,Supplemental
700.B.1-1,Single 1 x 4 x 2 Window without Glass (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.b.1-1.jpg,Supplemental
700.B.2-1,Single 1 x 2 x 3 Window without Glass (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.b.2-1.jpg,Supplemental
700.B.3-1,Single 1 x 2 x 2 Window without Glass (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.b.3-1.jpg,Supplemental
700.B.4-1,Single 1 x 2 x 4 Door without Glass (ABB),1950,1,https://cdn.rebrickable.com/media/sets/700.b.4-1.jpg,Supplemental
700.1-2,Extra-Large Gift Set (Mursten),1953,0,https://cdn.rebrickable.com/media/sets/700.1-2.jpg,Basic Set
700.1.4-1,Individual 1 x 2 Bricks,1953,1,https://cdn.rebrickable.com/media/sets/700.1.4-1.jpg,Supplemental
700.3.4-1,Individual 2 x 3 Bricks,1953,1,https://cdn.rebrickable.com/media/sets/700.3.4-1.jpg,Supplemental
700.F-1,Automatic Binding Bricks - Small Brick Set (Lego Mursten),1953,48,https://cdn.rebrickable.com/media/sets/700.f-1.jpg,Supplemental
700.16-1,Individual 2 x 8 Bricks,1954,1,https://cdn.rebrickable.com/media/sets/700.16-1.jpg,Supplemental
700.20-1,Individual 2 x 10 Bricks,1954,1,https://cdn.rebrickable.com/media/sets/700.20-1.jpg,Supplemental
700.24-1,Individual 2 x 12 Bricks,1954,1,https://cdn.rebrickable.com/media/sets/700.24-1.jpg,Supplemental
700.28-1,Individual 2 x 14 Bricks,1954,1,https://cdn.rebrickable.com/media/sets/700.28-1.jpg,Supplemental
700.C.1-1,Individual 1 x 6 x 4 Panorama Window (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.1-1.jpg,Supplemental
700.C.2-1,Individual 1 x 6 x 3 3-Pane Window (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.2-1.jpg,Supplemental
700.C.3-1,Individual 1 x 6 x 3 Shutter Window (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.3-1.jpg,Supplemental
700.C.4-1,Individual 1 x 4 x 3 Window (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.4-1.jpg,Supplemental
700.C.5-1,Individual 1 x 3 x 3 Window (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.5-1.jpg,Supplemental
700.C.6-1,Individual 1 x 2 x 4 Door (with glass),1954,1,https://cdn.rebrickable.com/media/sets/700.c.6-1.jpg,Supplemental
700.H-1,Individual 4 x 4 Corner Bricks,1954,1,https://cdn.rebrickable.com/media/sets/700.h-1.jpg,Supplemental
700.C-1,Tall Classic Windows/Door (with Glass),1954,6,https://cdn.rebrickable.com/media/sets/700.c-1.jpg,Supplemental
700GP6-1,Gift Package (Lego Mursten),1954,46,https://cdn.rebrickable.com/media/sets/700gp6-1.jpg,Town Plan
700GP5-1,Gift Package (Lego Mursten),1954,54,https://cdn.rebrickable.com/media/sets/700gp5-1.jpg,Town Plan
1224.1-1,8 Danish Named Beams,1955,0,https://cdn.rebrickable.com/media/sets/1224.1-1.jpg,Supplemental
1224-2,8 Named Beams,1955,0,https://cdn.rebrickable.com/media/sets/1224-2.jpg,Supplemental
b55dk-01,Lego Mursten - System i Leg Byggebog,1955,0,https://cdn.rebrickable.com/media/sets/b55dk-01.jpg,Books
1250-2,1:87 Esso Bedford Tanker,1955,1,https://cdn.rebrickable.com/media/sets/1250-2.jpg,HO 1:87 Vehicles
1251-2,1:87 Esso Bedford Truck,1955,1,https://cdn.rebrickable.com/media/sets/1251-2.jpg,HO 1:87 Vehicles
1252-2,1:87 Esso Bedford Trailer,1955,1,https://cdn.rebrickable.com/media/sets/1252-2.jpg,HO 1:87 Vehicles
1253-2,1:87 Bedford Flatbed Truck,1955,1,https://cdn.rebrickable.com/media/sets/1253-2.jpg,HO 1:87 Vehicles
